День недели;Время;Название предмета;Тип;Адрес;Преподаватель
Понедельник;;;;;
Вторник;11:40 - 13:10;Компьютерная и инженерная графика;Лекция;Кронверкский пр., д.49, ауд 2201 (бывш. 206);Калапышина Ирина Ивановна
Среда;8:20 - 09:50;Методы контроля качества в цифровом производстве;Практика;"НТЦ ""Эталон""";Федоров Алексей Владимирович
Среда;11:40 - 13:10;Английский язык;Практика;ул. Ломоносова, д.9, ауд 3307;Баранцева Марина Александровна
Среда;13:30 - 15:00;Английский язык;Практика;ул. Ломоносова, д.9, ауд 3307;Баранцева Марина Александровна
Четверг;8:20 - 9:50;Основы цифрового производства;Практика;Кронверкский пр., д.49, ауд. 2112 (бывш. 19/7);Третьяков Сергей Дмитриевич
Четверг;10:00 - 11:30;Основы цифрового производства;Лекция;Кронверкский пр., д.49, ауд. 2304 (бывш. 302);Андреев Юрий Сергеевич
Четверг;11:40 - 13:10;Программирование контроллеров ;Лабораторная;Кронверкский пр., д.49, ауд. 2118 (бывш. 19/2);Крылова Анастасия Андреевна
Пятница;10:00 - 11:30;Теория автоматического управления;Лабораторная;пер. Гривцова, д.14-16, ауд. 445;Чепинский Сергей Алексеевич
Суббота;;;;;
Воскресенье;;;;;